id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns
125,505074056200,505074772628,716428,-51346,-95980
126,505075052810,505075786395,733585,-3390,17157
127,505076039503,505076584965,545462,-13307,-188123
128,505077036100,505077581326,545226,-3403,-236
129,505078034494,505078491961,457467,-1606,-87759
130,505079018927,505079334688,315761,-15567,-141706
131,505080015250,505080199598,184348,-3677,-131413
132,505081020943,505081308553,287610,5693,103262
133,505082032354,505082324730,292376,11411,4766
134,505083036501,505083416547,380046,4147,87670
135,505084033722,505084390341,356619,-2779,-23427
136,505085035290,505085394797,359507,1568,2888
137,505086034983,505086381086,346103,-307,-13404
138,505087032762,505087426531,393769,-2221,47666
139,505088031973,505088255688,223715,-789,-170054
140,505089033591,505089300783,267192,1618,43477
141,505090030378,505090307185,276807,-3213,9615
142,505091033389,505091298085,264696,3011,-12111
143,505092034028,505092291039,257011,639,-7685
144,505093031657,505093308648,276991,-2371,19980
145,505094032792,505094313394,280602,1135,3611
146,505095032309,505095261352,229043,-483,-51559
147,505096073637,505096530852,457215,41328,228172
148,505097037829,505097406095,368266,-35808,-88949
149,505098054260,505098559877,505617,16431,137351
150,505099052725,505099332533,279808,-1535,-225809
151,505100082742,505100605848,523106,30017,243298
152,505101033330,505101291757,258427,-49412,-264679
153,505102066272,505102493846,427574,32942,169147
154,505103048343,505103405788,357445,-17929,-70129
155,505104046644,505104407162,360518,-1699,3073
156,505105040493,505105439624,399131,-6151,38613
157,505106037363,505106293306,255943,-3130,-143188
158,505107031571,505107308050,276479,-5792,20536
159,505108032226,505108344671,312445,655,35966
160,505109031736,505109296319,264583,-490,-47862
161,505110032933,505110276472,243539,1197,-21044
162,505111029988,505111286874,256886,-2945,13347
163,505112031726,505112352151,320425,1738,63539
164,505113038373,505113350451,312078,6647,-8347
165,505114030773,505114332353,301580,-7600,-10498
166,505115033767,505115282172,248405,2994,-53175
167,505116034610,505116291692,257082,843,8677
168,505117030689,505117270428,239739,-3921,-17343
169,505118031309,505118326173,294864,620,55125
170,505119030819,505119318873,288054,-490,-6810
171,505120047927,505120408731,360804,17108,72750
172,505121044799,505121330892,286093,-3128,-74711
173,505122059576,505122556398,496822,14777,210729
174,505123050857,505123454905,404048,-8719,-92774
175,505124062612,505124777893,715281,11755,311233
176,505125037893,505125669541,631648,-24719,-83633
177,505126041871,505126560737,518866,3978,-112782
178,505127027910,505127581829,553919,-13961,35053
179,505128037810,505128694764,656954,9900,103035
180,505129034125,505129540529,506404,-3685,-150550
181,505130024119,505130471872,447753,-10006,-58651
182,505131027893,505131637871,609978,3774,162225
183,505132035970,505132535378,499408,8077,-110570
184,505133021269,505133647521,626252,-14701,126844
185,505134075281,505134649903,574622,54012,-51630
186,505135057832,505135462010,404178,-17449,-170444
187,505136030243,505136493203,462960,-27589,58782
188,505137032160,505137425363,393203,1917,-69757
189,505138075144,505138685813,610669,42984,217466
190,505139043929,505139418299,374370,-31215,-236299
191,505140040901,505140285230,244329,-3028,-130041
192,505141121185,505141397353,276168,80284,31839
193,505142039274,505142331259,291985,-81911,15817
194,505143040123,505143368482,328359,849,36374
195,505144031597,505144290479,258882,-8526,-69477
196,505145031844,505145309762,277918,247,19036
197,505146032648,505146260640,227992,804,-49926
198,505147032029,505147226729,194700,-619,-33292
199,505148098785,505148333943,235158,66756,40458
200,505149031510,505149309447,277937,-67275,42779
201,505150030398,505150272193,241795,-1112,-36142
202,505151048946,505151481612,432666,18548,190871
203,505152052341,505152337679,285338,3395,-147328
204,505153067251,505153463100,395849,14910,110511
205,505154059229,505154517828,458599,-8022,62750
206,505155047972,505155406634,358662,-11257,-99937
207,505156041959,505156349072,307113,-6013,-51549
208,505157034423,505157555202,520779,-7536,213666
209,505158040169,505158418621,378452,5746,-142327
210,505159035910,505159343888,307978,-4259,-70474
211,505160034754,505160387603,352849,-1156,44871
212,505161032229,505161474842,442613,-2525,89764
213,505162030249,505162370478,340229,-1980,-102384
214,505163029088,505163418893,389805,-1161,49576
215,505164029394,505164458909,429515,306,39710
216,505165029262,505165383770,354508,-132,-75007
217,505166029676,505166441383,411707,414,57199
218,505167044485,505167353112,308627,14809,-103080
219,505168045105,505168348923,303818,620,-4809
220,505169053882,505169460476,406594,8777,102776
221,505170057668,505170536623,478955,3786,72361
222,505171077250,505171506300,429050,19582,-49905
223,505172052275,505172481733,429458,-24975,408
224,505173049768,505173429230,379462,-2507,-49996
225,505174039995,505174331628,291633,-9773,-87829
226,505175033401,505175507112,473711,-6594,182078
227,505176032855,505176471609,438754,-546,-34957
228,505177033635,505177506253,472618,780,33864
229,505178032591,505178463935,431344,-1044,-41274
230,505179031590,505179482789,451199,-1001,19855
231,505180031998,505180479149,447151,408,-4048
232,505181030028,505181437776,407748,-1970,-39403
233,505182030449,505182469154,438705,421,30957
234,505183029109,505183377338,348229,-1340,-90476
235,505184030429,505184329145,298716,1320,-49513
236,505185028946,505185286645,257699,-1483,-41017
237,505186031041,505186327112,296071,2095,38372
238,505187045295,505187410253,364958,14254,68887
239,505188039122,505188465769,426647,-6173,61689
240,505189072521,505189636099,563578,33399,136931
241,505190072864,505190756997,684133,343,120555
242,505191048342,505191824813,776471,-24522,92338
243,505192028706,505192499101,470395,-19636,-306076
244,505193026265,505193573000,546735,-2441,76340
245,505194064203,505194651787,587584,37938,40849
246,505195059583,505195618794,559211,-4620,-28373
247,505196041509,505196336862,295353,-18074,-263858
248,505197027331,505197272752,245421,-14178,-49932
249,505198020931,505198262125,241194,-6400,-4227
250,505199018067,505199315069,297002,-2864,55808
251,505200034802,505200432864,398062,16735,101060
252,505201032053,505201421370,389317,-2749,-8745
253,505202032271,505202601573,569302,218,179985
254,505203044614,505203473823,429209,12343,-140093
255,505204031142,505204378004,346862,-13472,-82347
256,505205031094,505205489651,458557,-48,111695
257,505206031246,505206413626,382380,152,-76177
258,505207030234,505207376948,346714,-1012,-35666
259,505208032357,505208398362,366005,2123,19291
260,505209031817,505209418181,386364,-540,20359
261,505210028995,505210409407,380412,-2822,-5952
262,505211029809,505211411105,381296,814,884
263,505212030865,505212377143,346278,1056,-35018
264,505213090484,505213611893,521409,59619,175131
265,505214061325,505214438029,376704,-29159,-144705
266,505215080028,505215636033,556005,18703,179301
267,505216046428,505216557422,510994,-33600,-45011
268,505217031485,505217857918,826433,-14943,315439
269,505218043273,505218645483,602210,11788,-224223
270,505219038323,505219441586,403263,-4950,-198947
271,505220035960,505220386024,350064,-2363,-53199
272,505221037235,505221411110,373875,1275,23811
273,505222034901,505222420528,385627,-2334,11752
274,505223035083,505223427824,392741,182,7114
275,505224029739,505224467185,437446,-5344,44705
276,505225033305,505225406107,372802,3566,-64644
277,505226041749,505226495469,453720,8444,80918
278,505227034470,505227486112,451642,-7279,-2078
279,505228033362,505228404234,370872,-1108,-80770
280,505229032203,505229489036,456833,-1159,85961
281,505230030802,505230472995,442193,-1401,-14640
282,505231028430,505231490536,462106,-2372,19913
283,505232028508,505232416313,387805,78,-74301
284,505233028916,505233325621,296705,408,-91100
285,505234031443,505234330909,299466,2527,2761
286,505235031976,505235337126,305150,533,5684
287,505236032363,505236316287,283924,387,-21226
288,505237029894,505237255247,225353,-2469,-58571
289,505238031820,505238249660,217840,1926,-7513
290,505239031937,505239293346,261409,117,43569
291,505240032207,505240275682,243475,270,-17934
292,505241031490,505241258840,227350,-717,-16125
293,505242037043,505242348966,311923,5553,84573
294,505243039345,505243290690,251345,2302,-60578
295,505244059593,505244435975,376382,20248,125037
296,505245062106,505245359724,297618,2513,-78764
297,505246076971,505246462310,385339,14865,87721
298,505247055103,505247396792,341689,-21868,-43650
299,505248046410,505248337329,290919,-8693,-50770
300,505249037632,505249300075,262443,-8778,-28476
301,505250043575,505250374908,331333,5943,68890
302,505251036745,505251360410,323665,-6830,-7668
303,505252030324,505252354370,324046,-6421,381
304,505253206592,505253537625,331033,176268,6987
305,505254029387,505254494201,464814,-177205,133781
306,505255029565,505255479477,449912,178,-14902
307,505256028155,505256459798,431643,-1410,-18269
308,505257028089,505257468888,440799,-66,9156
309,505258028633,505258261627,232994,544,-207805
310,505259110373,505259337302,226929,81740,-6065
311,505260044735,505260427838,383103,-65638,156174
312,505261038855,505261302318,263463,-5880,-119640
313,505262049336,505262413153,363817,10481,100354
314,505263059812,505263455768,395956,10476,32139
315,505264081654,505264478254,396600,21842,644
316,505265054107,505265390956,336849,-27547,-59751
317,505266047540,505266337534,289994,-6567,-46855
318,505267040717,505267659980,619263,-6823,329269
319,505268045535,505268415186,369651,4818,-249612
320,505269031939,505269412930,380991,-13596,11340
321,505270032843,505270406713,373870,904,-7121
322,505271030243,505271424892,394649,-2600,20779
323,505272029274,505272445713,416439,-969,21790
324,505273030077,505273438476,408399,803,-8040
325,505274028435,505274375861,347426,-1642,-60973
326,505275029151,505275398737,369586,716,22160
327,505276028291,505276567457,539166,-860,169580
328,505277029738,505277554252,524514,1447,-14652
329,505278027961,505278475336,447375,-1777,-77139
330,505279029627,505279444412,414785,1666,-32590
331,505280030901,505280474619,443718,1274,28933
332,505281030074,505281456942,426868,-827,-16850
333,505282030545,505282360997,330452,471,-96416
334,505283029477,505283345299,315822,-1068,-14630
335,505284031351,505284297871,266520,1874,-49302
336,505285030781,505285315257,284476,-570,17956
337,505286030134,505286283102,252968,-647,-31508
338,505287046608,505287379664,333056,16474,80088
339,505288172737,505288524372,351635,126129,18579
340,505289060159,505289362246,302087,-112578,-49548
341,505290050097,505290451579,401482,-10062,99395
342,505291045783,505291460692,414909,-4314,13427
343,505292042460,505292546051,503591,-3323,88682
344,505293037021,505293505249,468228,-5439,-35363
345,505294044323,505294476035,431712,7302,-36516
346,505295039976,505295395981,356005,-4347,-75707
347,505296075257,505296531770,456513,35281,100508
348,505297060519,505297403777,343258,-14738,-113255
349,505298071947,505298430061,358114,11428,14856
350,505299050451,505299464911,414460,-21496,56346
351,505300038749,505300453191,414442,-11702,-18
352,505301040666,505301393329,352663,1917,-61779
353,505302035253,505302350920,315667,-5413,-36996
354,505303214744,505303557673,342929,179491,27262
355,505304032670,505304633805,601135,-182074,258206
356,505305048202,505305642824,594622,15532,-6513
357,505306017797,505306586364,568567,-30405,-26055
358,505307037583,505307549153,511570,19786,-56997
359,505308021217,505308209613,188396,-16366,-323174
360,505309018711,505309513910,495199,-2506,306803
361,505310030209,505310392874,362665,11498,-132534
362,505311033653,505311478930,445277,3444,82612
363,505312031907,505312390192,358285,-1746,-86992
364,505313029281,505313352307,323026,-2626,-35259
365,505314043803,505314429697,385894,14522,62868
366,505315047065,505315341440,294375,3262,-91519
367,505316088288,505316624187,535899,41223,241524
368,505317056097,505317451394,395297,-32191,-140602
369,505318211215,505318650533,439318,155118,44021
370,505319030733,505319511351,480618,-180482,41300
371,505320024547,505320626378,601831,-6186,121213
372,505321029010,505321661527,632517,4463,30686
373,505322060896,505322807608,746712,31886,114195
374,505323022081,505323365816,343735,-38815,-402977
375,505324156242,505324714825,558583,134161,214848
376,505325022493,505325428858,406365,-133749,-152218
377,505326151118,505326929388,778270,128625,371905
378,505327025711,505327639774,614063,-125407,-164207
379,505328017215,505328427999,410784,-8496,-203279
380,505329013342,505329591046,577704,-3873,166920
381,505330036634,505330672156,635522,23292,57818
382,505331009958,505331445203,435245,-26676,-200277
383,505332012487,505332764281,751794,2529,316549
384,505333033401,505333700975,667574,20914,-84220
385,505334023536,505334324089,300553,-9865,-367021
386,505335098071,505335647761,549690,74535,249137
387,505336022540,505336517934,495394,-75531,-54296
388,505337035274,505337566185,530911,12734,35517
