id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns,received
95,2135177568270,1773051310931089166,1773049175753520896,-1246,75947,1
96,2135178578030,1773051310932075395,1773049175753497365,9760,-23531,1
97,2135179629126,1773051310933124725,1773049175753495599,51096,-1766,1
98,2135180569978,1773051310934080090,1773049175753510112,-59148,14513,1
99,2135181610440,1773051310935094291,1773049175753483851,40462,-26261,1
100,2135182572969,1773051310936105798,1773049175753532829,-37471,48978,1
101,2135183594028,1773051310937123707,1773049175753529679,21059,-3150,1
102,2135184589012,1773051310938110228,1773049175753521216,-5016,-8463,1
103,2135185590965,1773051310939069546,1773049175753478581,1953,-42635,1
104,2135186570240,1773051310940074367,1773049175753504127,-20725,25546,1
105,2135187578273,1773051310941064670,1773049175753486397,8033,-17730,1
106,2135188569868,1773051310942046299,1773049175753476431,-8405,-9966,1
107,2135189579074,1773051310943060696,1773049175753481622,9206,5191,1
108,2135190569696,1773051310944054337,1773049175753484641,-9378,3019,1
109,2135191578373,1773051310945066020,1773049175753487647,8677,3006,1
110,2135192570839,1773051310946002016,1773049175753431177,-7534,-56470,1
111,2135193570093,1773051310947110602,1773049175753540509,-746,109332,1
112,2135194590156,1773051310948093367,1773049175753503211,20063,-37298,1
113,2135195585073,1773051310949140009,1773049175753554936,-5083,51725,1
114,2135196580968,1773051310950135050,1773049175753554082,-4105,-854,1
115,2135197571555,1773051310951137058,1773049175753565503,-9413,11421,1
116,2135198580236,1773051310952114153,1773049175753533917,8681,-31586,1
117,2135199569381,1773051310953111149,1773049175753541768,-10855,7851,1
118,2135200590569,1773051310954053206,1773049175753462637,21188,-79131,1
119,2135201570609,1773051310955096603,1773049175753525994,-19960,63357,1
120,2135202577721,1773051310955997107,1773049175753419386,7112,-106608,1
121,2135203569982,1773051310957054996,1773049175753485014,-7739,65628,1
122,2135204578326,1773051310958037335,1773049175753459009,8344,-26005,1
123,2135205569842,1773051310959067712,1773049175753497870,-8484,38861,1
124,2135206577586,1773051310960050029,1773049175753472443,7744,-25427,1
125,2135207570005,1773051310961069627,1773049175753499622,-7581,27179,1
126,2135208578137,1773051310962058049,1773049175753479912,8132,-19710,1
127,2135209569770,1773051310963117259,1773049175753547489,-8367,67577,1
128,2135210579895,1773051310964046949,1773049175753467054,10125,-80435,1
129,2135211569985,1773051310965114254,1773049175753544269,-9910,77215,1
130,2135212586472,1773051310966054401,1773049175753467929,16487,-76340,1
131,2135213571287,1773051310967186336,1773049175753615049,-15185,147120,1
132,2135214578855,1773051310968091319,1773049175753512464,7568,-102585,1
