id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns,received
90,3235211619986,3235211692184,72198,5255,-579704,1
91,3235212615892,3235212750600,134708,-4094,62510,1
92,3235213615276,3235213706579,91303,-616,-43405,1
93,3235214614861,3235214697245,82384,-415,-8919,1
94,3235215615468,3235218223893,2608425,607,2526041,1
95,3235218207318,3235218312612,105294,1591850,-2503131,1
96,3235218614121,3235218694529,80408,-593197,-24886,1
97,3235219614316,3235219700362,86046,195,5638,1
98,3235220620884,3235220712281,91397,6568,5351,1
99,3235221614601,3235221696457,81856,-6283,-9541,1
100,3235222613812,3235222705927,92115,-789,10259,1
101,3235223614428,3235223691107,76679,616,-15436,1
102,3235224614499,3235224689719,75220,71,-1459,1
103,3235225615496,3235225693121,77625,997,2405,1
104,3235226615404,3235226688724,73320,-92,-4305,1
105,3235227615190,3235227694962,79772,-214,6452,1
106,3235228615233,3235228696934,81701,43,1929,1
107,3235229615132,3235229688011,72879,-101,-8822,1
108,3235230613667,3235230687004,73337,-1465,458,1
109,3235231614190,3235231690689,76499,523,3162,1
110,3235232614345,3235232687078,72733,155,-3766,1
111,3235233614059,3235233679683,65624,-286,-7109,1
112,3235234613637,3235234687140,73503,-422,7879,1
113,3235235615512,3235235708412,92900,1875,19397,1
114,3235236614796,3235236707937,93141,-716,241,1
115,3235237615809,3235237705890,90081,1013,-3060,1
116,3235238615392,3235238711263,95871,-417,5790,1
117,3235239613756,3235239698929,85173,-1636,-10698,1
118,3235240614329,3235240738791,124462,573,39289,1
119,3235241614570,3235241698703,84133,241,-40329,1
120,3235242613805,3235242715824,102019,-765,17886,1
121,3235243613870,3235243718953,105083,65,3064,1
122,3235244614958,3235244717781,102823,1088,-2260,1
123,3235245613561,3235245706790,93229,-1397,-9594,1
124,3235246614476,3235246709609,95133,915,1904,1
125,3235247615375,3235247693889,78514,899,-16619,1
126,3235248614030,3235248700592,86562,-1345,8048,1
127,3235249614055,3235249698890,84835,25,-1727,1
128,3235250614903,3235250704495,89592,848,4757,1
129,3235251615112,3235251690345,75233,209,-14359,1
130,3235252614014,3235252687445,73431,-1098,-1802,1
131,3235253614480,3235253699800,85320,466,11889,1
132,3235254614109,3235254685296,71187,-371,-14133,1
133,3235255614496,3235255702376,87880,387,16693,1
134,3235256615095,3235256683515,68420,599,-19460,1
135,3235257614064,3235257681491,67427,-1031,-993,1
136,3235258615459,3235258716554,101095,1395,33668,1
137,3235259616390,3235259711169,94779,931,-6316,1
138,3235260878752,3235262386365,1507613,262362,1412834,1
139,3235262191664,3235262404336,212672,312912,-1294941,1
140,3235262630325,3235262814764,184439,-561339,-28233,1
141,3235263624951,3235263833337,208386,-5374,23947,1
142,3235264624905,3235264828021,203116,-46,-5270,1
143,3235265622792,3235265833638,210846,-2113,7730,1
144,3235266623486,3235266845298,221812,694,10966,1
145,3235267626078,3235267792713,166635,2592,-55177,1
146,3235268696920,3235268938820,241900,70842,75265,1
147,3235269696256,3235269943811,247555,-664,5655,1
148,3235270740813,3235271054039,313226,44557,65671,1
149,3235271627326,3235271810180,182854,-113487,-130372,1
150,3235272704386,3235272915367,210981,77060,28127,1
151,3235273697488,3235273931951,234463,-6898,23482,1
152,3235276873274,3235277230138,356864,2175786,122401,1
153,3235277636496,3235277838570,202074,-236778,-154790,1
154,3235278699608,3235278925502,225894,63112,23820,1
155,3235279703516,3235279921692,218176,3908,-7718,1
156,3235280696894,3235280916572,219678,-6622,1502,1
157,3235281715017,3235281931740,216723,18123,-2955,1
158,3235282624886,3235282814365,189479,-90131,-27244,1
159,3235283629814,3235283835636,205822,4928,16343,1
160,3235284625784,3235284806484,180700,-4030,-25122,1
161,3235285623034,3235285780377,157343,-2750,-23357,1
162,3235286623293,3235286793644,170351,259,13008,1
163,3235287622139,3235287777852,155713,-1154,-14638,1
164,3235288623174,3235288776876,153702,1035,-2011,1
165,3235289623661,3235289769116,145455,487,-8247,1
166,3235290622832,3235290753186,130354,-829,-15101,1
167,3235292103678,3235293397798,1294120,480846,1163766,1
168,3235293238401,3235294090817,852416,134723,-441704,1
169,3235294044406,3235295042690,998284,-193995,145868,1
170,3235295015771,3235295144119,128348,-28635,-869936,1
171,3235295627445,3235295788700,161255,-388326,32907,1
172,3235296623685,3235296812175,188490,-3760,27235,1
173,3235297622199,3235297806542,184343,-1486,-4147,1
174,3235298622148,3235298774446,152298,-51,-32045,1
175,3235299622598,3235299796986,174388,450,22090,1
176,3235300622966,3235300959581,336615,368,162227,1
177,3235301623769,3235301807334,183565,803,-153050,1
178,3235302622042,3235302812095,190053,-1727,6488,1
179,3235303622733,3235303772470,149737,691,-40316,1
180,3235304622522,3235304789042,166520,-211,16783,1
181,3235305621750,3235305789949,168199,-772,1679,1
182,3235306622822,3235306791436,168614,1072,415,1
183,3235307621863,3235307799994,178131,-959,9517,1
184,3235309460465,3235309878020,417555,838602,239424,1
185,3235309739820,3235309988086,248266,-720645,-169289,1
186,3235310627915,3235310841500,213585,-111905,-34681,1
187,3235311623666,3235311804836,181170,-4249,-32415,1
188,3235312622409,3235312811430,189021,-1257,7851,1
189,3235313622988,3235313775488,152500,579,-36521,1
190,3235314621238,3235314794544,173306,-1750,20806,1
191,3235315622411,3235315796982,174571,1173,1265,1
192,3235316621528,3235316796794,175266,-883,695,1
193,3235317623051,3235317782863,159812,1523,-15454,1
194,3235318621655,3235318789830,168175,-1396,8363,1
195,3235319622950,3235319790606,167656,1295,-519,1
196,3235320621576,3235320790234,168658,-1374,1002,1
197,3235321622673,3235321788141,165468,1097,-3190,1
198,3235322620704,3235322803589,182885,-1969,17417,1
199,3235323622049,3235323801825,179776,1345,-3109,1
200,3235324702936,3235326524894,1821958,80887,1642182,1
201,3235326223987,3235326727467,503480,521051,-1318478,1
202,3235326639424,3235326950952,311528,-584563,-191952,1
203,3235327623838,3235327815599,191761,-15586,-119767,1
204,3235328621419,3235328779892,158473,-2419,-33288,1
205,3235329623001,3235329800297,177296,1582,18823,1
206,3235330621967,3235330798842,176875,-1034,-421,1
207,3235331622499,3235331801809,179310,532,2435,1
208,3235332621825,3235332799679,177854,-674,-1456,1
209,3235333622520,3235333796917,174397,695,-3457,1
210,3235334638332,3235334966413,328081,15812,153684,1
211,3235335624586,3235335820712,196126,-13746,-131955,1
212,3235336620590,3235336815188,194598,-3996,-1528,1
213,3235337622975,3235337809496,186521,2385,-8077,1
214,3235338621646,3235338802927,181281,-1329,-5240,1
215,3235339622352,3235339797913,175561,706,-5720,1
216,3235340621800,3235340799377,177577,-552,2016,1
217,3235342881880,3235343184092,302212,1260080,124635,1
218,3235343660914,3235343895540,234626,-220966,-67586,1
219,3235344729027,3235344974705,245678,68113,11052,1
220,3235345618272,3235345734641,116369,-110755,-129309,1
221,3235346616415,3235346718885,102470,-1857,-13899,1
222,3235347621491,3235347738829,117338,5076,14868,1
223,3235348620029,3235348726727,106698,-1462,-10640,1
224,3235349619646,3235349717881,98235,-383,-8463,1
225,3235350619595,3235350714664,95069,-51,-3166,1
226,3235351621611,3235351732042,110431,2016,15362,1
227,3235352619186,3235352736169,116983,-2425,6552,1
228,3235353619300,3235353724082,104782,114,-12201,1
229,3235354619122,3235354710667,91545,-178,-13237,1
230,3235355619146,3235355712351,93205,24,1660,1
231,3235356620393,3235356728128,107735,1247,14530,1
232,3235357620088,3235357700160,80072,-305,-27663,1
233,3235359441781,3235360874287,1432506,821693,1352434,1
234,3235360739099,3235360942103,203004,297318,-1229502,1
235,3235361625385,3235361758406,133021,-113714,-69983,1
236,3235362620159,3235362730317,110158,-5226,-22863,1
237,3235363618940,3235363711544,92604,-1219,-17554,1
238,3235364619538,3235364730098,110560,598,17956,1
239,3235365621307,3235365737637,116330,1769,5770,1
240,3235366621061,3235366720955,99894,-246,-16436,1
241,3235367624993,3235367744843,119850,3932,19956,1
242,3235368648126,3235368880556,232430,23133,112580,1
243,3235369729478,3235369950773,221295,81352,-11135,1
244,3235370724275,3235370942322,218047,-5203,-3248,1
245,3235371710669,3235371939966,229297,-13606,11250,1
246,3235372732533,3235372975597,243064,21864,13767,1
247,3235373747080,3235373973136,226056,14547,-17008,1
248,3235375427757,3235377026609,1598852,680677,1372796,1
249,3235376929737,3235377120732,190995,501980,-1407857,1
250,3235377902728,3235378158582,255854,-27009,64859,1
251,3235378619724,3235378735980,116256,-283004,-139598,1
252,3235379725013,3235379955630,230617,105289,114361,1
253,3235380726675,3235380948241,221566,1662,-9051,1
254,3235381728562,3235381950506,221944,1887,378,1
255,3235382741747,3235382980465,238718,13185,16774,1
256,3235383728253,3235383976045,247792,-13494,9074,1
257,3235384727501,3235384951403,223902,-752,-23890,1
258,3235385720374,3235385969646,249272,-7127,25370,1
259,3235386617956,3235386718553,100597,-102418,-148675,1
260,3235387617701,3235387717949,100248,-255,-349,1
261,3235388755145,3235388965954,210809,137444,110561,1
262,3235389729834,3235389934937,205103,-25311,-5706,1
263,3235390623898,3235390728362,104464,-105936,-100639,1
264,3235392773420,3235394142653,1369233,1149522,1264769,1
265,3235393634128,3235394266027,631899,-139292,-737334,1
266,3235394620627,3235394740517,119890,-13501,-512009,1
267,3235395622910,3235395755304,132394,2283,12504,1
268,3235396619284,3235396731082,111798,-3626,-20596,1
269,3235397619330,3235397722269,102939,46,-8859,1
270,3235398619571,3235398728608,109037,241,6098,1
271,3235399619828,3235399719931,100103,257,-8934,1
272,3235400619992,3235400717573,97581,164,-2522,1
