id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns
98,1709242652509,8319168767331480224,8319167058088827715,-107975,-892025
99,1709243844231,8319168767331480224,8319167058087635993,191722,-1191722
100,1709244658307,8319168767331480224,8319167058086821917,-185924,-814076
101,1709245653257,8319168767331480224,8319167058085826967,-5050,-994950
102,1709246760708,8319168767331480224,8319167058084719516,107451,-1107451
103,1709247658065,8319168767331480224,8319167058083822159,-102643,-897357
104,1709248653635,8319168767331480224,8319167058082826589,-4430,-995570
105,1709249739364,8319168767331480224,8319167058081740860,85729,-1085729
106,1709250658754,8319168767331480224,8319167058080821470,-80610,-919390
107,1709251653948,8319168767331480224,8319167058079826276,-4806,-995194
108,1709252772206,8319168767331480224,8319167058078708018,118258,-1118258
109,1709253660933,8319168767331480224,8319167058077819291,-111273,-888727
110,1709254757770,8319168767331480224,8319167058076722454,96837,-1096837
111,1709255762110,8319168767331480224,8319167058075718114,4340,-1004340
112,1709256760133,8319168767331480224,8319167058074720091,-1977,-998023
113,1709257745205,8319168767331480224,8319167058073735019,-14928,-985072
114,1709258762493,8319168767331480224,8319167058072717731,17288,-1017288
115,1709259760124,8319168767331480224,8319167058071720100,-2369,-997631
116,1709260762715,8319168767331480224,8319167058070717509,2591,-1002591
117,1709261740353,8319168767331480224,8319167058069739871,-22362,-977638
118,1709262749678,8319168767331480224,8319167058068730546,9325,-1009325
119,1709263761411,8319168767331480224,8319167058067718813,11733,-1011733
120,1709265022014,8319168767331480224,8319167058066458210,260603,-1260603
121,1709265661921,1709275091015,9429094,-360093,-8319167058057029116
122,1709266773086,1709275203766,8430680,111165,-998414
123,1709267759819,1709275357738,7597919,-13267,-832761
124,1709268760296,1709275420571,6660275,477,-937644
125,1709269863767,1709275486043,5622276,103471,-1037999
126,1709270653704,1709275574225,4920521,-210063,-701755
127,1709271653939,1709275679941,4026002,235,-894519
128,1709272652697,1709275787332,3134635,-1242,-891367
129,1709273758200,1709275855400,2097200,105503,-1037435
130,1709274800478,1709275947415,1146937,42278,-950263
131,1709275654140,1709276067673,413533,-146338,-733404
132,1709276773618,1709277070241,296623,119478,-116910
133,1709277775872,1709278085246,309374,2254,12751
134,1709278807215,1709279123022,315807,31343,6433
135,1709279756788,1709280055878,299090,-50427,-16717
136,1709280651754,1709280786178,134424,-105034,-164666
137,1709281761237,1709282058095,296858,109483,162434
138,1709282759717,1709283046984,287267,-1520,-9591
139,1709283761104,1709284042848,281744,1387,-5523
140,1709284756430,1709285043429,286999,-4674,5255
141,1709285777866,1709286025128,247262,21436,-39737
142,1709286758680,1709287011771,253091,-19186,5829
143,1709287762994,1709288013322,250328,4314,-2763
144,1709288761273,1709289015436,254163,-1721,3835
145,1709289780352,1709290058446,278094,19079,23931
146,1709290758230,1709291039315,281085,-22122,2991
147,1709291762046,1709292061824,299778,3816,18693
148,1709292755714,1709293052762,297048,-6332,-2730
149,1709293756815,1709294045573,288758,1101,-8290
150,1709294760914,1709295052066,291152,4099,2394
151,1709295767967,1709296073825,305858,7053,14706
152,1709296758201,1709296999717,241516,-9766,-64342
153,1709297785333,1709298071484,286151,27132,44635
154,1709298809318,1709299087310,277992,23985,-8159
155,1709299760610,1709300023044,262434,-48708,-15558
156,1709300764427,1709301046729,282302,3817,19868
157,1709301781985,1709302049232,267247,17558,-15055
158,1709302757853,1709303018179,260326,-24132,-6921
159,1709303758423,1709304034005,275582,570,15256
160,1709304764287,1709305041411,277124,5864,1542
161,1709305757333,1709306051989,294656,-6954,17532
162,1709306756167,1709307073452,317285,-1166,22629
163,1709307792060,1709308050046,257986,35893,-59299
164,1709308759788,1709309042774,282986,-32272,25000
165,1709309795383,1709310065768,270385,35595,-12601
166,1709310759182,1709311030674,271492,-36201,1107
167,1709311782957,1709312077168,294211,23775,22719
168,1709312774040,1709313057283,283243,-8917,-10968
169,1709313761357,1709314025137,263780,-12683,-19463
170,1709314756843,1709315043441,286598,-4514,22818
171,1709315761643,1709316044678,283035,4800,-3563
172,1709316814324,1709317094742,280418,52681,-2617
173,1709317760681,1709318033591,272910,-53643,-7508
174,1709318758228,1709319043571,285343,-2453,12433
175,1709319764289,1709320011410,247121,6061,-38222
176,1709320748335,1709320991812,243477,-15954,-3644
177,1709321775908,1709322067846,291938,27573,48461
178,1709322790447,1709323064932,274485,14539,-17453
179,1709323761565,1709324058644,297079,-28882,22594
180,1709324782491,1709325072171,289680,20926,-7399
181,1709325770516,1709326089233,318717,-11975,29037
182,1709326761106,1709327081377,320271,-9410,1554
183,1709327776937,1709328061129,284192,15831,-36079
184,1709328758414,1709329029541,271127,-18523,-13065
185,1709329653034,1709329784130,131096,-105380,-140031
186,1709330759189,1709331057901,298712,106155,167616
187,1709331759883,1709332024432,264549,694,-34163
188,1709332760185,1709333018930,258745,302,-5804
